,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,Aggressive_Words,Count_Aggressive_Words
32,32,32,He would not have injured you!,picard,1.0,102.txt,"['he', 'would', 'injured']","['He', 'would', 'injur']","['He', 'would', 'injur']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['injured'],1
33,33,33,(indicates phaser) Do you understand this; the stun setting?,picard,1.0,102.txt,"['indicates', 'phaser', 'do', 'understand', 'stun', 'setting']","['indic', 'phaser', 'Do', 'understand', 'stun', 'set']","['indic', 'phaser', 'Do', 'understand', 'stun', 'set']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['stun'],1
54,54,54,"(deep breath, feeling it) Then later, on finally reaching deep space, humans of course found enemies to fight out there too.",picard,1.0,102.txt,"['deep', 'breath', 'feeling', 'then', 'later', 'finally', 'reaching', 'deep', 'space', 'humans', 'course', 'found', 'enemies', 'fight']","['deep', 'breath', 'feel', 'Then', 'later', 'final', 'reach', 'deep', 'space', 'human', 'cours', 'found', 'enemi', 'fight']","['deep', 'breath', 'feel', 'Then', 'later', 'final', 'reach', 'deep', 'space', 'human', 'cours', 'found', 'enemi', 'fight']",14.0,-0.3612,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['fight'],1
86,86,86,"(to Tasha) Arm photon torpedoes, Weapons Station.",picard,1.0,102.txt,"['tasha', 'arm', 'photon', 'torpedoes', 'weapons', 'station']","['Tasha', 'Arm', 'photon', 'torpedo', 'Weapon', 'Station']","['Tasha', 'Arm', 'photon', 'torpedo', 'Weapon', 'Station']",6.0,-0.29600000000000004,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['photon'],1
102,102,102,"(turning to Tasha) Lieutenant, your torpedoes must detonate close enough to the hostile to blind it at the moment we separate Understood, sir.",picard,1.0,102.txt,"['turning', 'tasha', 'lieutenant', 'torpedoes', 'must', 'detonate', 'close', 'enough', 'hostile', 'blind', 'moment', 'separate', 'understood', 'sir']","['turn', 'Tasha', 'Lieuten', 'torpedo', 'must', 'deton', 'close', 'enough', 'hostil', 'blind', 'moment', 'separ', 'Understood', 'sir']","['turn', 'Tasha', 'Lieuten', 'torpedo', 'must', 'deton', 'close', 'enough', 'hostil', 'blind', 'moment', 'separ', 'Understood', 'sir']",14.0,-0.4019,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['torpedoes'],1
109,109,109,are you recommending we fight a life form that can do all those things?,picard,1.0,102.txt,"['recommending', 'fight', 'life', 'form', 'things']","['recommend', 'fight', 'life', 'form', 'thing']","['recommend', 'fight', 'life', 'form', 'thing']",5.0,-0.0258,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['fight'],1
190,190,190,The important thing is we can be dead certain...,picard,1.0,102.txt,"['the', 'important', 'thing', 'dead', 'certain']","['The', 'import', 'thing', 'dead', 'certain']","['The', 'import', 'thing', 'dead', 'certain']",5.0,-0.4939,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['dead'],1
238,238,238,"Worf apologetically puts his phaser away, lets Picard wave him aside.",picard,1.0,102.txt,"['worf', 'apologetically', 'puts', 'phaser', 'away', 'lets', 'picard', 'wave', 'aside']","['Worf', 'apologet', 'put', 'phaser', 'away', 'let', 'Picard', 'wave', 'asid']","['Worf', 'apologet', 'put', 'phaser', 'away', 'let', 'Picard', 'wave', 'asid']",9.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phaser'],1
265,265,265,"Mister Riker, our ship's counselor, Deanna Troi He's obviously stunned to find her here, although she isn't at all surprised.",picard,1.0,102.txt,"['mister', 'riker', 'ships', 'counselor', 'deanna', 'troi', 'hes', 'obviously', 'stunned', 'find', 'although', 'isnt', 'surprised']","['Mister', 'Riker', 'ship', 'counselor', 'Deanna', 'Troi', 'He', 'obvious', 'stun', 'find', 'although', 'isnt', 'surpris']","['Mister', 'Riker', 'ship', 'counselor', 'Deanna', 'Troi', 'He', 'obvious', 'stun', 'find', 'although', 'isnt', 'surpris']",13.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['stunned'],1
336,336,336,"Raise all shields, phasers at ready.",picard,1.0,102.txt,"['raise', 'shields', 'phasers', 'ready']","['Rais', 'shield', 'phaser', 'readi']","['Rais', 'shield', 'phaser', 'readi']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,['phasers'],1
