,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1
2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2
3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3
4,5,5,"""The Last Outpost""",41386.4,Richard Colla,Teleplay: Herbert Wright Story: Richard Krzmeien,"October?19,?1987?(1987-10-19)",8.9[1],4
5,6,6,"""Where No One Has Gone Before""",41263.1,Rob Bowman,Diane Duane and Michael Reaves,"October?26,?1987?(1987-10-26)",10.5[1],5
6,7,7,"""Lonely Among Us""",41249.3,Cliff Bole,Teleplay: D. C. Fontana Story: Michael Halperin,"November?2,?1987?(1987-11-02)",12.1[1],6
7,8,8,"""Justice""",41255.6,James L. Conway,Teleplay: Worley Thorne Story: Ralph Willis and Worley Thorne,"November?9,?1987?(1987-11-09)",12.7[1],7
8,9,9,"""The Battle""",41723.9,Rob Bowman,Teleplay: Herbert J. Wright Story: Larry Forrester,"November?16,?1987?(1987-11-16)",10.5[1],8
9,10,10,"""Hide and Q""",41590.5,Cliff Bole,Teleplay: C.J. Holland and Gene Roddenberry Story: C.J. Holland,"November?23,?1987?(1987-11-23)",11.0[1],9
10,11,11,"""Haven""",41294.5,Richard Compton,Teleplay: Tracy Torm? Story: Tracy Torm? and Lan O'Kun,"November?30,?1987?(1987-11-30)",10.3[1],10
11,12,12,"""The Big Goodbye""",41997.7,Joseph L. Scanlan,Tracy Torm?,"January?11,?1988?(1988-01-11)",11.5[1],11
12,13,13,"""Datalore""",41242.4,Rob Bowman,Teleplay: Robert Lewin and Gene Roddenberry Story: Robert Lewin and Maurice Hurley,"January?18,?1988?(1988-01-18)",10.3[1],12
13,14,14,"""Angel One""",41636.9,Michael Rhoades,Patrick Barry,"January?25,?1988?(1988-01-25)",11.4[1],13
14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
15,16,16,"""Too Short a Season""",41309.5,Rob Bowman,Teleplay: Michael Michaelian and D. C. Fontana Story: Michael Michaelian,"February?8,?1988?(1988-02-08)",10.9[1],15
16,17,17,"""When the Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February?15,?1988?(1988-02-15)",10.2[1],16
17,18,18,"""Home Soil""",41463.9,Corey Allen,Teleplay: Robert Sabaroff Story: Karl Geurs & Ralph Sanchez and Robert Sabaroff,"February?22,?1988?(1988-02-22)",9.0[1],17
18,19,19,"""Coming of Age""",41416.2,Mike Vejar,Sandy Fries,"March?14,?1988?(1988-03-14)",10.1[1],18
19,20,20,"""Heart of Glory""",41503.7,Rob Bowman,Teleplay: Maurice Hurley Story: Maurice Hurley and Herbert Wright & D. C. Fontana,"March?21,?1988?(1988-03-21)",10.7[1],19
20,21,21,"""The Arsenal of Freedom""",41798.2,Les Landau,Teleplay: Richard Manning and Hans Beimler Story: Maurice Hurley and Robert Lewin,"April?11,?1988?(1988-04-11)",10.4[1],20
21,22,22,"""Symbiosis""",Unknown,Win Phelps,Teleplay: Robert Lewin & Richard Manning and Hans Beimler Story: Robert Lewin,"April?18,?1988?(1988-04-18)",10.8[1],21
22,23,23,"""Skin of Evil""",41601.3,Joseph L. Scanlan,Teleplay: Joseph Stefano and Hannah Louise Shearer Story: Joseph Stefano,"April?25,?1988?(1988-04-25)",9.7[1],22
23,24,24,"""We'll Always Have Paris""",41697.9,Robert Becker,Deborah Dean Davis and Hannah Louise Shearer,"May?2,?1988?(1988-05-02)",9.7[1],23
24,25,25,"""Conspiracy""",41775.5,Cliff Bole,Teleplay: Tracy Torm? Story: Robert Sabaroff,"May?9,?1988?(1988-05-09)",9.4[1],24
25,26,26,"""The Neutral Zone""",41986.0,James L. Conway,Teleplay: Maurice Hurley Story: Deborah McIntyre & Mona Clee,"May?16,?1988?(1988-05-16)",10.2[1],25
1,27,1,"""The Child""",42073.1,Rob Bowman,Jaron Summers & Jon Povill and Maurice Hurley,"November?21,?1988?(1988-11-21)",10.9[2],26
2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27
3,29,3,"""Elementary, Dear Data""",42286.3,Rob Bowman,Brian Alan Lane,"December?5,?1988?(1988-12-05)",Unknown[2],28
4,30,4,"""The Outrageous Okona""",42402.7,Robert Becker,Teleplay by: Burton Armus Story by: Les Menchen & Lance Dickson & David Landsberg,"December?12,?1988?(1988-12-12)",Unknown[2],29
5,31,5,"""Loud as a Whisper""",42477.2,Larry Shaw,Jacqueline Zambrano,"January?9,?1989?(1989-01-09)",10.7[2],30
6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31
7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32
8,34,8,"""A Matter of Honor""",42506.5,Rob Bowman,Teleplay by: Burton Armus Story by: Wanda M. Haight & Gregory Amos and Burton Armus,"February?6,?1989?(1989-02-06)",11.3[2],33
9,35,9,"""The Measure of a Man""",42523.7,Robert Scheerer,Melinda M. Snodgrass,"February?13,?1989?(1989-02-13)",11.3[2],34
10,36,10,"""The Dauphin""",42568.8,Rob Bowman,Scott Rubenstein & Leonard Mlodinow,"February?20,?1989?(1989-02-20)",10.7[2],35
11,37,11,"""Contagion""",42609.1,Joseph L. Scanlan,Steve Gerber & Beth Woods,"March?20,?1989?(1989-03-20)",10.2[2],36
12,38,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March?27,?1989?(1989-03-27)",10.6[2],37
13,39,13,"""Time Squared""",42679.2,Joseph L. Scanlan,Teleplay by: Maurice Hurley Story by: Kurt Michael Bensmiller,"April?3,?1989?(1989-04-03)",9.9[2],38
14,40,14,"""The Icarus Factor""",42686.4,Robert Iscove,Teleplay by: David Assael and Robert McCullough Story by: David Assael,"April?24,?1989?(1989-04-24)",9.1[2],39
15,41,15,"""Pen Pals""",42695.3,Winrich Kolbe,Teleplay by: Melinda M. Snodgrass Story by: Hannah Louise Shearer,"May?1,?1989?(1989-05-01)",9.7[2],40
16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41
17,43,17,"""Samaritan Snare""",42779.1,Les Landau,Robert L. McCullough,"May?15,?1989?(1989-05-15)",10.0[2],42
18,44,18,"""Up the Long Ladder""",42823.2,Winrich Kolbe,Melinda M. Snodgrass,"May?22,?1989?(1989-05-22)",9.2[2],43
19,45,19,"""Manhunt""",42859.2,Rob Bowman,Terry Devereaux,"June?19,?1989?(1989-06-19)",8.9[2],44
20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45
21,47,21,"""Peak Performance""",42923.4,Robert Scheerer,David Kemper,"July?10,?1989?(1989-07-10)",9.4[2],46
22,48,22,"""Shades of Gray""",42976.1,Rob Bowman,Teleplay by: Maurice Hurley and Richard Manning & Hans Beimler Story by: Maurice Hurley,"July?17,?1989?(1989-07-17)",9.8[2],47
1,50[nb 1],1,"""Evolution""",43125.8,Winrich Kolbe,Teleplay by: Michael Piller Story by: Michael Piller & Michael Wagner,"September?25,?1989?(1989-09-25)",10.8[3],48
2,49,2,"""The Ensigns of Command""",43133.3,Cliff Bole,Melinda M. Snodgrass,"October?2,?1989?(1989-10-02)",Unknown[4],49
3,51,3,"""The Survivors""",43152.4,Les Landau,Michael Wagner,"October?9,?1989?(1989-10-09)",9.6[4],50
4,52,4,"""Who Watches the Watchers""",43173.5,Robert Wiemer,Richard Manning & Hans Beimler,"October?16,?1989?(1989-10-16)",9.6[4],51
5,53,5,"""The Bonding""",43198.7,Winrich Kolbe,Ronald D. Moore,"October?23,?1989?(1989-10-23)",9.9[4],52
6,54,6,"""Booby Trap""",43205.6,Gabrielle Beaumont,Teleplay by: Ron Roman and Michael Piller & Richard Danus Story by: Michael Wagner & Ron Roman,"October?30,?1989?(1989-10-30)",11.0[4],53
7,55,7,"""The Enemy""",43349.2,David Carson,David Kemper & Michael Piller,"November?6,?1989?(1989-11-06)",10.3[4],54
8,56,8,"""The Price""",43385.6,Robert Scheerer,Hannah Louise Shearer,"November?13,?1989?(1989-11-13)",10.6[4],55
9,57,9,"""The Vengeance Factor""",43421.9,Timothy Bond,Sam Rolfe,"November?20,?1989?(1989-11-20)",9.7[4],56
10,58,10,"""The Defector""",43462.5,Robert Scheerer,Ronald D. Moore,"January?1,?1990?(1990-01-01)",10.5[4],57
11,59,11,"""The Hunted""",43489.2,Cliff Bole,Robin Bernheim,"January?8,?1990?(1990-01-08)",10.6[4],58
12,60,12,"""The High Ground""",43510.7,Gabrielle Beaumont,Melinda M. Snodgrass,"January?29,?1990?(1990-01-29)",10.5[4],59
13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60
14,62,14,"""A Matter of Perspective""",43610.4,Cliff Bole,Ed Zuckerman,"February?12,?1990?(1990-02-12)",10.8[4],61
15,63,15,"""Yesterday's Enterprise""",43625.2,David Carson,"Teleplay by: Ira Steven Behr, Richard Manning, Hans Beimler and Ronald D. Moore From a Story by: Trent Christopher Ganino & Eric A. Stillwell","February?19,?1990?(1990-02-19)",11.9[4],62
16,64,16,"""The Offspring""",43657.0,Jonathan Frakes,Ren? Echevarria,"March?12,?1990?(1990-03-12)",10.2[4],63
17,65,17,"""Sins of the Father""",43685.2,Les Landau,Teleplay by: Ronald D. Moore & W. Reed Moran Story by: Drew Deighan,"March?19,?1990?(1990-03-19)",11.1[4],64
18,66,18,"""Allegiance""",43714.1,Winrich Kolbe,Richard Manning & Hans Beimler,"March?26,?1990?(1990-03-26)",10.2[4],65
19,67,19,"""Captain's Holiday""",43745.2,Chip Chalmers,Ira Steven Behr,"April?2,?1990?(1990-04-02)",11.7[4],66
20,68,20,"""Tin Man""",43779.3,Robert Scheerer,Dennis Putman Bailey & David Bischoff,"April?23,?1990?(1990-04-23)",10.2[4],67
21,69,21,"""Hollow Pursuits""",43807.4,Cliff Bole,Sally Caves,"April?30,?1990?(1990-04-30)",9.8[4],68
22,70,22,"""The Most Toys""",43872.2,Timothy Bond,Shari Goodhartz,"May?7,?1990?(1990-05-07)",10.3[4],69
23,71,23,"""Sarek""",43917.4,Les Landau,Teleplay and Story by: Peter S. Beagle From an unpublished story by: Marc Cushman & Jake Jacobs,"May?14,?1990?(1990-05-14)",10.6[4],70
24,72,24,"""M?nage ? Troi""",43930.7,Robert Legato,Fred Bronson & Susan Sackett,"May?28,?1990?(1990-05-28)",9.1[4],71
25,73,25,"""Transfigurations""",43957.2,Tom Benko,Ren? Echevarria,"June?4,?1990?(1990-06-04)",10.2[4],72
26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73
1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74
2,76,2,"""Family""",44012.3,Les Landau,Ronald D. Moore,"October?1,?1990?(1990-10-01)",9.6[5],75
3,77,3,"""Brothers""",44085.7,Rob Bowman,Rick Berman,"October?8,?1990?(1990-10-08)",10.9[5],76
4,78,4,"""Suddenly Human""",44143.7,Gabrielle Beaumont,Teleplay: John Whelpley & Jeri Taylor Story: Ralph Phillips,"October?15,?1990?(1990-10-15)",10.3[5],77
5,79,5,"""Remember Me""",44161.2,Cliff Bole,Lee Sheldon,"October?22,?1990?(1990-10-22)",11.4[5],78
6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79
7,81,7,"""Reunion""",44246.3,Jonathan Frakes,Teleplay: Thomas Perry & Jo Perry & Ronald D. Moore and Brannon Braga Story: Drew Deighan & Thomas Perry and Jo Perry,"November?5,?1990?(1990-11-05)",12.2[5],80
8,82,8,"""Future Imperfect""",44286.5,Les Landau,J. Larry Carroll & David Bennett Carren,"November?12,?1990?(1990-11-12)",12.0[5],81
