,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
7454,7454,59047,an alarm trigger or reset phasers to stun.,tasha picard,11.0,112.txt,"['An', 'alarm', 'trigger', 'Reset', 'phasers', 'stun']","['An', 'alarm', 'trigger', 'Reset', 'phaser', 'stun']","['An', 'alarm', 'trigger', 'Reset', 'phaser', 'stun']",6.0,-0.34,"['tasha', 'picard']",tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",11,12,12,"""The Big Goodbye""",41997.7,Joseph L. Scanlan,Tracy Torm?,"January?11,?1988?(1988-01-11)",11.5[1],11
9006,9006,59120,set phasers to stun.,guest quarters night (optical) tasha,14.0,115.txt,"['Set', 'phasers', 'stun']","['Set', 'phaser', 'stun']","['Set', 'phaser', 'stun']",3.0,0.0,['tasha'],tasha yar,Denise Crosby,['TNG'],tasha yar,Chief Security Officer,USS Enterprise-D,['Lieutenant'],Human,"['tasha', 'yar']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
12029,12029,61784,set phasers on stun.,riker,19.0,120.txt,"['Set', 'phasers', 'stun']","['Set', 'phaser', 'stun']","['Set', 'phaser', 'stun']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",19,20,20,"""Heart of Glory""",41503.7,Rob Bowman,Teleplay: Maurice Hurley Story: Maurice Hurley and Herbert Wright & D. C. Fontana,"March?21,?1988?(1988-03-21)",10.7[1],19
19092,19092,6303,set phasers on stun.,picard,31.0,132.txt,"['Set', 'phasers', 'stun']","['Set', 'phaser', 'stun']","['Set', 'phaser', 'stun']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31
19393,19393,62819,set phasers on stun.,riker,31.0,132.txt,"['Set', 'phasers', 'stun']","['Set', 'phaser', 'stun']","['Set', 'phaser', 'stun']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,32,6,"""The Schizoid Man""",42437.5,Les Landau,Teleplay by: Tracy Torm? Story by: Richard Manning & Hans Beimler,"January?23,?1989?(1989-01-23)",10.8[2],31
19852,19852,50903,set phasers for kill.,worf,32.0,133.txt,"['Set', 'phasers', 'kill']","['Set', 'phaser', 'kill']","['Set', 'phaser', 'kill']",3.0,-0.6908,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32
19853,19853,50904,they set phasers.,worf,32.0,133.txt,"['They', 'set', 'phasers']","['They', 'set', 'phaser']","['They', 'set', 'phaser']",3.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],7,33,7,"""Unnatural Selection""",42494.8,Paul Lynch,John Mason and Mike Gray,"January?30,?1989?(1989-01-30)",11.0[2],32
25191,25191,64044,"set phasers on stun, but let's be ready to increase the power if we need it.",riker,41.0,142.txt,"['Set', 'phasers', 'stun', 'lets', 'ready', 'increase', 'power', 'need']","['Set', 'phaser', 'stun', 'let', 'readi', 'increas', 'power', 'need']","['Set', 'phaser', 'stun', 'let', 'readi', 'increas', 'power', 'need']",8.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41
35230,35230,65800,set phasers on kill.,riker,58.0,159.txt,"['Set', 'phasers', 'kill']","['Set', 'phaser', 'kill']","['Set', 'phaser', 'kill']",3.0,-0.6908,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",11,59,11,"""The Hunted""",43489.2,Cliff Bole,Robin Bernheim,"January?8,?1990?(1990-01-08)",10.6[4],58
47519,47519,67618,set phasers to maximum stun.,riker,80.0,181.txt,"['Set', 'phasers', 'maximum', 'stun']","['Set', 'phaser', 'maximum', 'stun']","['Set', 'phaser', 'maximum', 'stun']",4.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",7,81,7,"""Reunion""",44246.3,Jonathan Frakes,Teleplay: Thomas Perry & Jo Perry & Ronald D. Moore and Brannon Braga Story: Drew Deighan & Thomas Perry and Jo Perry,"November?5,?1990?(1990-11-05)",12.2[5],80
