,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment
0,"""Encounter at Farpoint"" by",STAR TREK: THE NEXT GENERATION D.C.,1.0,102.txt,"['Encounter', 'Farpoint']","['Encount', 'Farpoint']","['Encount', 'Farpoint']",2.0,0.0
1,Fontana and Gene Roddenberry This script is not for publicaion or reproduction.No one is authorized to dispose of the same.,STAR TREK: THE NEXT GENERATION D.C.,1.0,102.txt,"['Fontana', 'Gene', 'Roddenberry', 'This', 'script', 'publicaion', 'reproductionNo', 'one', 'authorized', 'dispose']","['Fontana', 'Gene', 'Roddenberri', 'Thi', 'script', 'publicaion', 'reproductionNo', 'one', 'author', 'dispos']","['Fontana', 'Gene', 'Roddenberri', 'Thi', 'script', 'publicaion', 'reproductionNo', 'one', 'author', 'dispos']",10.0,0.0
2,"If lost ordestroyed, please notify the Script Department.",STAR TREK: THE NEXT GENERATION D.C.,1.0,102.txt,"['If', 'lost', 'ordestroyed', 'please', 'notify', 'Script', 'Department']","['If', 'lost', 'ordestroy', 'pleas', 'notifi', 'Script', 'Depart']","['If', 'lost', 'ordestroy', 'plea', 'notifi', 'Script', 'Depart']",7.0,-0.3182
3,April  1987,FINAL DRAFT TEASER FADE IN:1 EXT.,1.0,102.txt,"['April', '1987']","['April', '1987']","['April', '1987']",2.0,0.0
4,The,SPACE STARSHIP (OPTICAL) U.S.S.,1.0,102.txt,['The'],['The'],['The'],1.0,0.0
5,Enterprise traveling at warp speed through space.,SPACE STARSHIP (OPTICAL) U.S.S.,1.0,102.txt,"['Enterprise', 'traveling', 'warp', 'speed', 'space']","['Enterpris', 'travel', 'warp', 'speed', 'space']","['Enterpris', 'travel', 'warp', 'speed', 'space']",5.0,0.0
6,,PICARD V.O.,1.0,102.txt,[],[],[],0.0,0.0
7,"Captain's log, stardate 42353.7.",PICARD V.O.,1.0,102.txt,"['Captains', 'log', 'stardate', '423537']","['Captain', 'log', 'stardat', '423537']","['Captain', 'log', 'stardat', '423537']",4.0,0.0
8,Our destination is planet Cygnus beyond which lies the great unexplored mass of the galaxy.2 on the gigantic new Enterprise,PICARD V.O.,1.0,102.txt,"['Our', 'destination', 'planet', 'Cygnus', 'beyond', 'lies', 'great', 'unexplored', 'mass', 'galaxy2', 'gigantic', 'new', 'Enterprise']","['Our', 'destin', 'planet', 'Cygnu', 'beyond', 'lie', 'great', 'unexplor', 'mass', 'galaxy2', 'gigant', 'new', 'Enterpris']","['Our', 'destin', 'planet', 'Cygnu', 'beyond', 'lie', 'great', 'unexplor', 'mass', 'galaxy2', 'gigant', 'new', 'Enterpris']",13.0,0.6249
9,,PICARD V.O.,1.0,102.txt,[],[],[],0.0,0.0
